City Name, Date, Temperature, Description, Pressure, Humidity


Boston,Tuesday March 22 2022,20.82 °F,snow,1020 psi,96 g.kg^(-1)

San Francisco,Tuesday March 22 2022,44.13 °F,clear sky,1017 psi,71 g.kg^(-1)

London,Wednesday March 23 2022,44.55 °F,haze,1029 psi,85 g.kg^(-1)

Boston,Tuesday March 22 2022,20.82 °F,snow,1020 psi,96 g.kg^(-1)

San Francisco,Tuesday March 22 2022,44.13 °F,clear sky,1017 psi,71 g.kg^(-1)

London,Wednesday March 23 2022,44.56 °F,haze,1029 psi,85 g.kg^(-1)

Boston,Wednesday March 23 2022,21.72 °F,snow,1020 psi,96 g.kg^(-1)

San Francisco,Tuesday March 22 2022,44.6 °F,scattered clouds,1015 psi,70 g.kg^(-1)

London,Wednesday March 23 2022,44.35 °F,haze,1030 psi,87 g.kg^(-1)

Boston,Wednesday March 23 2022,18.45 °F,light snow,1020 psi,96 g.kg^(-1)

San Francisco,Tuesday March 22 2022,43.56 °F,overcast clouds,1014 psi,78 g.kg^(-1)

London,Wednesday March 23 2022,45.41 °F,haze,1030 psi,82 g.kg^(-1)

Boston,Wednesday March 23 2022,16.43 °F,snow,1021 psi,95 g.kg^(-1)

San Francisco,Wednesday March 23 2022,44.82 °F,overcast clouds,1014 psi,73 g.kg^(-1)

London,Wednesday March 23 2022,56.61 °F,clear sky,1029 psi,70 g.kg^(-1)

Boston,Wednesday March 23 2022,18.5 °F,snow,1025 psi,97 g.kg^(-1)

San Francisco,Wednesday March 23 2022,44.06 °F,clear sky,1015 psi,86 g.kg^(-1)

London,Wednesday March 23 2022,65.66 °F,clear sky,1029 psi,36 g.kg^(-1)

Boston,Wednesday March 23 2022,11.61 °F,overcast clouds,1031 psi,95 g.kg^(-1)

San Francisco,Wednesday March 23 2022,43.07 °F,clear sky,1015 psi,91 g.kg^(-1)

London,Wednesday March 23 2022,65.55 °F,clear sky,1028 psi,34 g.kg^(-1)

Boston,Wednesday March 23 2022,11.41 °F,overcast clouds,1030 psi,90 g.kg^(-1)

San Francisco,Wednesday March 23 2022,43 °F,clear sky,1014 psi,91 g.kg^(-1)

London,Wednesday March 23 2022,57.22 °F,clear sky,1028 psi,51 g.kg^(-1)

Boston,Wednesday March 23 2022,11.64 °F,overcast clouds,1030 psi,91 g.kg^(-1)

San Francisco,Wednesday March 23 2022,43.38 °F,clear sky,1014 psi,89 g.kg^(-1)

London,Wednesday March 23 2022,50.18 °F,clear sky,1030 psi,68 g.kg^(-1)

Boston,Wednesday March 23 2022,18.25 °F,snow,1026 psi,92 g.kg^(-1)

San Francisco,Wednesday March 23 2022,46.74 °F,clear sky,1016 psi,79 g.kg^(-1)

London,Thursday March 24 2022,43.59 °F,haze,1030 psi,80 g.kg^(-1)

Boston,Wednesday March 23 2022,19.47 °F,overcast clouds,1026 psi,92 g.kg^(-1)

San Francisco,Wednesday March 23 2022,47.61 °F,clear sky,1015 psi,78 g.kg^(-1)

London,Thursday March 24 2022,43.66 °F,haze,1030 psi,78 g.kg^(-1)

Boston,Thursday March 24 2022,22.03 °F,light snow,1023 psi,93 g.kg^(-1)

San Francisco,Wednesday March 23 2022,47.77 °F,broken clouds,1013 psi,74 g.kg^(-1)

London,Thursday March 24 2022,42.48 °F,haze,1030 psi,75 g.kg^(-1)

Boston,Thursday March 24 2022,22.05 °F,snow,1022 psi,95 g.kg^(-1)

San Francisco,Thursday March 24 2022,46.02 °F,broken clouds,1014 psi,80 g.kg^(-1)

London,Thursday March 24 2022,55.02 °F,haze,1030 psi,63 g.kg^(-1)

Boston,Thursday March 24 2022,20.01 °F,snow,1023 psi,97 g.kg^(-1)

San Francisco,Thursday March 24 2022,44.98 °F,overcast clouds,1015 psi,76 g.kg^(-1)

London,Thursday March 24 2022,64.33 °F,clear sky,1029 psi,33 g.kg^(-1)

Boston,Thursday March 24 2022,17.29 °F,light snow,1026 psi,96 g.kg^(-1)

San Francisco,Thursday March 24 2022,44.71 °F,overcast clouds,1016 psi,81 g.kg^(-1)

London,Thursday March 24 2022,64.63 °F,clear sky,1028 psi,29 g.kg^(-1)
